"Description","Who/Organisation","Amount","Timeline","Exact Quotes","Reasoning"
"Extension of the Electronic Travel Authorisation System (ETA)","Department of Home Affairs","24-hour processing","In the coming year","In the coming year, we will extend the Electronic Travel Authorisation System to all countries that require a visa, enabling applications for tourists to be processed digitally within 24 hours.","Qualifies as an administrative commitment via the 'will extend' directive and a specific performance standard ('within 24 hours')."
"Tax deduction for investment in new energy vehicles (NEVs)","National Treasury / Government","150% tax deduction","From March this year","From March this year, we will introduce a 150% tax deduction for investment in new energy vehicles, while supporting the local production of batteries.","Flagged as a fiscal policy commitment due to the specific tax percentage (150%) and a defined start date ('From March this year')."
"Investment target for new energy infrastructure (Just Energy Transition)","International partners / Government","R250 billion","N/A","International pledges to the Just Energy Transition Investment Plan now stand at approximately R250 billion.","Constitutes a financial commitment through the formal recording and reporting of 'international pledges' totalling R250 billion."
"New investment target for the next five years","Government / Investors","R2 trillion","Next five years","We have now set ourselves a target of raising R2 trillion in new investments over the next five years.","Identified as a major economic commitment by the use of the explicit phrase 'set ourselves a target' with a specific amount and duration."
"Funding and guarantees for small and medium enterprises (SMEs)","Government / SME agencies","R2.5 billion funding + R1 billion guarantees","This year","This year, we will provide more than R2.5 billion in funding to over 180 000 small and medium enterprises, and extend a further R1 billion in guarantees.","Confirmed as a financial commitment through the use of 'will provide' paired with specific monetary amounts and a time constraint ('this year')."
"Employment equity and procurement targets for persons with disabilities","Public Service / Government Entities","7% target","By 2030","implementing decision to increase employment equity targets of persons with disabilities in the Public Service to 7% by 2030, and to mandate a 7% preferential procurement target...","Recognized as a policy commitment through the use of the phrase 'implementing decision' and specific numerical targets (7%) with a deadline (2030)."
"Increase in skills development levy return to employers","Government","40% return (restored)","N/A","we will increase the proportion of the skills development levy returned to employers, restoring it to its original level of 40%.","Identified as a fiscal commitment via the directive 'will increase' and a specific restoration percentage (40%)."
"Mission to end child stunting","Government","Targeted interventions","By 2030","This year, we will embark on a mission to end child stunting by 2030 and tackle malnutrition among young children...","Qualifies as a major social commitment through the phrasing 'will embark on a mission' and the inclusion of a hard deadline (2030)."
"Redesign of the Social Relief of Distress (SRD) Grant","National Government / SASSA","","This year","This year, we will redesign the grant to more effectively support livelihoods, skills development, work opportunities and productive activity.","Confirmed as a policy commitment through the definitive 'will redesign' mandate for the current fiscal year."
"Phase 4 of District Six restoration","Government","R500 million","Ongoing","With R500 million allocated to this work, we are proceeding with Phase 4 of construction.","Identified as a tangible commitment through the mention of specific 'allocated' funds (R500 million) and the status 'proceeding'."
"Massive rollout of Lenacapavir for HIV prevention","Department of Health","Massive rollout","N/A","we will be undertaking a massive rollout of Lenacapavir, a six-monthly injection that has proven highly effective in preventing HIV transmission.","Confirmed as a public health commitment via the phrase 'will be undertaking a massive rollout' regarding a specific drug."
"Recruitment of additional labour inspectors","Department of Labour","10,000 labour inspectors","This year","To tighten enforcement, we will hire an additional 10 000 labour inspectors this year.","Constitutes a measurable performance commitment through a specific numerical target (10,000) and the verb 'will hire'."
"Launch of a Digital ID and digitization of government services","Department of Home Affairs (DHA)","","This year","This year, the DHA will launch a Digital ID to enable safe and secure use of digital services for all South Africans.","Identified as a service delivery commitment through the affirmative 'will launch' phrasing for the current year."
"Spread of the National Dialogue process and National Convention","Eminent Persons Group / Steering Committee","","This year","This year, the National Dialogue process will spread across South Africa, reaching every community... These public dialogues will culminate in a National Convention...","Qualifies as a socio-political commitment through the use of the future tense 'will' to outline a specific national engagement process."
